addr	segment	vma	state	pfn	path
581987013000	file	581987013000-581987015000	idle	1	/usr/bin/sleep
581987014000	file	581987013000-581987015000	idle	1	/usr/bin/sleep
581987015000	text	581987015000-581987019000	idle	1	/usr/bin/sleep
581987016000	text	581987015000-581987019000	idle	1	/usr/bin/sleep
581987017000	text	581987015000-581987019000	idle	1	/usr/bin/sleep
581987018000	text	581987015000-581987019000	idle	1	/usr/bin/sleep
581987019000	file	581987019000-58198701a000	idle	1	/usr/bin/sleep
58198701a000	file	58198701a000-58198701b000	idle	1	/usr/bin/sleep
58198701b000	data	58198701b000-58198701c000	idle	1	/usr/bin/sleep
5819a3c82000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c83000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c84000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c85000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c86000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c87000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c88000	heap	5819a3c82000-5819a3ca3000	idle	1	[heap]
5819a3c89000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c8a000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c8b000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c8c000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c8d000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c8e000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c8f000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c90000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c91000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c92000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c93000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c94000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c95000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c96000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c97000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c98000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c99000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c9a000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c9b000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c9c000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c9d000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c9e000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3c9f000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3ca0000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3ca1000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
5819a3ca2000	heap	5819a3c82000-5819a3ca3000	not_present	0	[heap]
789230ba6000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230ba7000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230ba8000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230ba9000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230baa000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bab000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bac000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bad000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bae000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230baf000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb0000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb1000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb2000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb3000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb4000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb5000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb6000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb7000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb8000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bb9000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bba000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bbb000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bbc000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bbd000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bbe000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bbf000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc0000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
