phase	segment	pages	path
before	text	159	page_codes/before/text_codes.txt
before	data	1	page_codes/before/data_codes.txt
before	bss	3	page_codes/before/bss_codes.txt
before	stack	39	page_codes/before/stack_codes.txt
before	file	141284	page_codes/before/file_codes.txt
before	anon	36174	page_codes/before/anon_codes.txt
before	special	656648	page_codes/before/special_codes.txt
after	text	159	page_codes/after/text_codes.txt
after	data	1	page_codes/after/data_codes.txt
after	bss	3	page_codes/after/bss_codes.txt
after	stack	39	page_codes/after/stack_codes.txt
after	file	253989	page_codes/after/file_codes.txt
after	anon	46674	page_codes/after/anon_codes.txt
after	special	698625	page_codes/after/special_codes.txt
before_pfn	text	159	page_codes/before/text_pfns.txt
before_pfn	data	1	page_codes/before/data_pfns.txt
before_pfn	bss	3	page_codes/before/bss_pfns.txt
before_pfn	stack	39	page_codes/before/stack_pfns.txt
before_pfn	file	141284	page_codes/before/file_pfns.txt
before_pfn	anon	36174	page_codes/before/anon_pfns.txt
before_pfn	special	656648	page_codes/before/special_pfns.txt
after_pfn	text	159	page_codes/after/text_pfns.txt
after_pfn	data	1	page_codes/after/data_pfns.txt
after_pfn	bss	3	page_codes/after/bss_pfns.txt
after_pfn	stack	39	page_codes/after/stack_pfns.txt
after_pfn	file	253989	page_codes/after/file_pfns.txt
after_pfn	anon	46674	page_codes/after/anon_pfns.txt
after_pfn	special	698625	page_codes/after/special_pfns.txt
