app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_gam,,1,0.0,0.0,8
优酷视频,op_gam,,3,0.125,0.0625,8
优酷视频,op_gam,,5,0.625,0.175,8
像素蛋糕,op_gam,,1,0.14285714285714285,0.14285714285714285,7
像素蛋糕,op_gam,,3,0.14285714285714285,0.14285714285714285,7
像素蛋糕,op_gam,,5,0.42857142857142855,0.20714285714285713,7
华为浏览器,op_gam,,1,0.2,0.2,10
华为浏览器,op_gam,,3,0.2,0.2,10
华为浏览器,op_gam,,5,0.6,0.28500000000000003,10
同花顺,op_gam,,1,0.08108108108108109,0.08108108108108109,37
同花顺,op_gam,,3,0.43243243243243246,0.23423423423423423,37
同花顺,op_gam,,5,0.5405405405405406,0.2585585585585586,37
哔哩哔哩,op_gam,,1,0.05,0.05,20
哔哩哔哩,op_gam,,3,0.2,0.10833333333333332,20
哔哩哔哩,op_gam,,5,0.3,0.13083333333333333,20
图库,op_gam,,1,0.3333333333333333,0.3333333333333333,3
图库,op_gam,,3,0.6666666666666666,0.4444444444444444,3
图库,op_gam,,5,0.6666666666666666,0.4444444444444444,3
大众点评,op_gam,,1,0.0,0.0,9
大众点评,op_gam,,3,0.0,0.0,9
大众点评,op_gam,,5,0.3333333333333333,0.06666666666666668,9
央视影音,op_gam,,1,0.1875,0.1875,16
央视影音,op_gam,,3,0.4375,0.27083333333333337,16
央视影音,op_gam,,5,0.625,0.3145833333333334,16
央视新闻,op_gam,,1,0.0,0.0,8
央视新闻,op_gam,,3,0.0,0.0,8
央视新闻,op_gam,,5,0.5,0.10625000000000001,8
央视频,op_gam,,1,0.14285714285714285,0.14285714285714285,21
央视频,op_gam,,3,0.47619047619047616,0.26190476190476186,21
央视频,op_gam,,5,0.6666666666666666,0.30714285714285716,21
夸克浏览器,op_gam,,1,0.08333333333333333,0.08333333333333333,24
夸克浏览器,op_gam,,3,0.3333333333333333,0.19444444444444442,24
夸克浏览器,op_gam,,5,0.5,0.2298611111111111,24
抖音,op_gam,,1,0.0,0.0,10
抖音,op_gam,,3,0.2,0.08333333333333333,10
抖音,op_gam,,5,0.7,0.1933333333333333,10
斗鱼,op_gam,,1,0.07692307692307693,0.07692307692307693,13
斗鱼,op_gam,,3,0.15384615384615385,0.11538461538461539,13
斗鱼,op_gam,,5,0.3076923076923077,0.15,13
明日方舟,op_gam,,1,0.12121212121212122,0.12121212121212122,33
明日方舟,op_gam,,3,0.3333333333333333,0.2121212121212121,33
明日方舟,op_gam,,5,0.5454545454545454,0.2606060606060606,33
火狐浏览器,op_gam,,1,0.16666666666666666,0.16666666666666666,6
火狐浏览器,op_gam,,3,0.3333333333333333,0.2222222222222222,6
火狐浏览器,op_gam,,5,0.5,0.2638888888888889,6
燕云十六声,op_gam,,1,0.15384615384615385,0.15384615384615385,13
燕云十六声,op_gam,,3,0.23076923076923078,0.1794871794871795,13
燕云十六声,op_gam,,5,0.3076923076923077,0.1948717948717949,13
爱奇艺,op_gam,,1,0.041666666666666664,0.041666666666666664,24
爱奇艺,op_gam,,3,0.3333333333333333,0.17361111111111113,24
爱奇艺,op_gam,,5,0.5,0.21319444444444444,24
百度网盘,op_gam,,1,0.07142857142857142,0.07142857142857142,14
百度网盘,op_gam,,3,0.2857142857142857,0.16666666666666669,14
百度网盘,op_gam,,5,0.42857142857142855,0.20238095238095238,14
米哈游,op_gam,,1,0.0,0.0,3
米哈游,op_gam,,3,0.0,0.0,3
米哈游,op_gam,,5,0.3333333333333333,0.08333333333333333,3
腾讯QQ,op_gam,,1,0.0,0.0,6
腾讯QQ,op_gam,,3,0.16666666666666666,0.05555555555555555,6
腾讯QQ,op_gam,,5,0.5,0.13055555555555556,6
腾讯视频,op_gam,,1,0.07142857142857142,0.07142857142857142,14
腾讯视频,op_gam,,3,0.35714285714285715,0.17857142857142858,14
腾讯视频,op_gam,,5,0.5,0.21071428571428572,14
虎牙直播,op_gam,,1,0.0,0.0,3
虎牙直播,op_gam,,3,0.3333333333333333,0.1111111111111111,3
虎牙直播,op_gam,,5,0.3333333333333333,0.1111111111111111,3
ALL,op_gam,,1,0.08940397350993377,0.08940397350993377,302
ALL,op_gam,,3,0.2980132450331126,0.17494481236203094,302
ALL,op_gam,,5,0.5,0.2203090507726269,302
