app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_markov,4,1,0.125,0.125,8
优酷视频,op_markov,4,3,0.125,0.125,8
优酷视频,op_markov,4,5,0.125,0.125,8
像素蛋糕,op_markov,4,1,0.0,0.0,7
像素蛋糕,op_markov,4,3,0.0,0.0,7
像素蛋糕,op_markov,4,5,0.0,0.0,7
华为浏览器,op_markov,4,1,0.3,0.3,10
华为浏览器,op_markov,4,3,0.5,0.4,10
华为浏览器,op_markov,4,5,0.5,0.4,10
同花顺,op_markov,4,1,0.10810810810810811,0.10810810810810811,37
同花顺,op_markov,4,3,0.21621621621621623,0.15765765765765768,37
同花顺,op_markov,4,5,0.24324324324324326,0.1630630630630631,37
哔哩哔哩,op_markov,4,1,0.05,0.05,20
哔哩哔哩,op_markov,4,3,0.2,0.10833333333333332,20
哔哩哔哩,op_markov,4,5,0.25,0.12083333333333332,20
图库,op_markov,4,1,0.3333333333333333,0.3333333333333333,3
图库,op_markov,4,3,0.6666666666666666,0.4444444444444444,3
图库,op_markov,4,5,0.6666666666666666,0.4444444444444444,3
大众点评,op_markov,4,1,0.0,0.0,9
大众点评,op_markov,4,3,0.1111111111111111,0.037037037037037035,9
大众点评,op_markov,4,5,0.1111111111111111,0.037037037037037035,9
央视影音,op_markov,4,1,0.3125,0.3125,16
央视影音,op_markov,4,3,0.375,0.34375,16
央视影音,op_markov,4,5,0.375,0.34375,16
央视新闻,op_markov,4,1,0.25,0.25,8
央视新闻,op_markov,4,3,0.625,0.4375,8
央视新闻,op_markov,4,5,0.625,0.4375,8
央视频,op_markov,4,1,0.047619047619047616,0.047619047619047616,21
央视频,op_markov,4,3,0.23809523809523808,0.12698412698412698,21
央视频,op_markov,4,5,0.23809523809523808,0.12698412698412698,21
夸克浏览器,op_markov,4,1,0.16666666666666666,0.16666666666666666,24
夸克浏览器,op_markov,4,3,0.2916666666666667,0.21527777777777776,24
夸克浏览器,op_markov,4,5,0.4166666666666667,0.24444444444444444,24
抖音,op_markov,4,1,0.0,0.0,10
抖音,op_markov,4,3,0.1,0.03333333333333333,10
抖音,op_markov,4,5,0.1,0.03333333333333333,10
斗鱼,op_markov,4,1,0.15384615384615385,0.15384615384615385,13
斗鱼,op_markov,4,3,0.15384615384615385,0.15384615384615385,13
斗鱼,op_markov,4,5,0.23076923076923078,0.17307692307692307,13
明日方舟,op_markov,4,1,0.15151515151515152,0.15151515151515152,33
明日方舟,op_markov,4,3,0.2727272727272727,0.202020202020202,33
明日方舟,op_markov,4,5,0.30303030303030304,0.20959595959595959,33
火狐浏览器,op_markov,4,1,0.16666666666666666,0.16666666666666666,6
火狐浏览器,op_markov,4,3,0.5,0.3055555555555555,6
火狐浏览器,op_markov,4,5,0.5,0.3055555555555555,6
燕云十六声,op_markov,4,1,0.07692307692307693,0.07692307692307693,13
燕云十六声,op_markov,4,3,0.38461538461538464,0.20512820512820512,13
燕云十六声,op_markov,4,5,0.38461538461538464,0.20512820512820512,13
爱奇艺,op_markov,4,1,0.0,0.0,24
爱奇艺,op_markov,4,3,0.125,0.05555555555555555,24
爱奇艺,op_markov,4,5,0.4583333333333333,0.13055555555555556,24
百度网盘,op_markov,4,1,0.07142857142857142,0.07142857142857142,14
百度网盘,op_markov,4,3,0.21428571428571427,0.13095238095238096,14
百度网盘,op_markov,4,5,0.21428571428571427,0.13095238095238096,14
米哈游,op_markov,4,1,0.3333333333333333,0.3333333333333333,3
米哈游,op_markov,4,3,0.3333333333333333,0.3333333333333333,3
米哈游,op_markov,4,5,0.3333333333333333,0.3333333333333333,3
腾讯QQ,op_markov,4,1,0.3333333333333333,0.3333333333333333,6
腾讯QQ,op_markov,4,3,0.3333333333333333,0.3333333333333333,6
腾讯QQ,op_markov,4,5,0.3333333333333333,0.3333333333333333,6
腾讯视频,op_markov,4,1,0.14285714285714285,0.14285714285714285,14
腾讯视频,op_markov,4,3,0.14285714285714285,0.14285714285714285,14
腾讯视频,op_markov,4,5,0.14285714285714285,0.14285714285714285,14
虎牙直播,op_markov,4,1,0.0,0.0,3
虎牙直播,op_markov,4,3,0.0,0.0,3
虎牙直播,op_markov,4,5,0.0,0.0,3
ALL,op_markov,4,1,0.12251655629139073,0.12251655629139073,302
ALL,op_markov,4,3,0.24834437086092714,0.1760485651214128,302
ALL,op_markov,4,5,0.2980132450331126,0.18747240618101546,302
