app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_mogp,,1,0.0,0.0,8
优酷视频,op_mogp,,3,0.125,0.0625,8
优酷视频,op_mogp,,5,0.5,0.15,8
像素蛋糕,op_mogp,,1,0.0,0.0,7
像素蛋糕,op_mogp,,3,0.0,0.0,7
像素蛋糕,op_mogp,,5,0.2857142857142857,0.07142857142857142,7
华为浏览器,op_mogp,,1,0.1,0.1,10
华为浏览器,op_mogp,,3,0.1,0.1,10
华为浏览器,op_mogp,,5,0.3,0.13999999999999999,10
同花顺,op_mogp,,1,0.13513513513513514,0.13513513513513514,37
同花顺,op_mogp,,3,0.43243243243243246,0.2522522522522523,37
同花顺,op_mogp,,5,0.6486486486486487,0.3009009009009008,37
哔哩哔哩,op_mogp,,1,0.05,0.05,20
哔哩哔哩,op_mogp,,3,0.2,0.10833333333333332,20
哔哩哔哩,op_mogp,,5,0.4,0.15583333333333332,20
图库,op_mogp,,1,0.6666666666666666,0.6666666666666666,3
图库,op_mogp,,3,0.6666666666666666,0.6666666666666666,3
图库,op_mogp,,5,0.6666666666666666,0.6666666666666666,3
大众点评,op_mogp,,1,0.0,0.0,9
大众点评,op_mogp,,3,0.2222222222222222,0.07407407407407407,9
大众点评,op_mogp,,5,0.5555555555555556,0.14629629629629629,9
央视影音,op_mogp,,1,0.0625,0.0625,16
央视影音,op_mogp,,3,0.1875,0.10416666666666666,16
央视影音,op_mogp,,5,0.5625,0.1885416666666667,16
央视新闻,op_mogp,,1,0.25,0.25,8
央视新闻,op_mogp,,3,0.5,0.375,8
央视新闻,op_mogp,,5,0.75,0.425,8
央视频,op_mogp,,1,0.047619047619047616,0.047619047619047616,21
央视频,op_mogp,,3,0.19047619047619047,0.11111111111111109,21
央视频,op_mogp,,5,0.47619047619047616,0.18015873015873016,21
夸克浏览器,op_mogp,,1,0.16666666666666666,0.16666666666666666,24
夸克浏览器,op_mogp,,3,0.3333333333333333,0.22916666666666663,24
夸克浏览器,op_mogp,,5,0.5416666666666666,0.2770833333333333,24
抖音,op_mogp,,1,0.0,0.0,10
抖音,op_mogp,,3,0.0,0.0,10
抖音,op_mogp,,5,0.4,0.09,10
斗鱼,op_mogp,,1,0.0,0.0,13
斗鱼,op_mogp,,3,0.23076923076923078,0.10256410256410256,13
斗鱼,op_mogp,,5,0.38461538461538464,0.13717948717948716,13
明日方舟,op_mogp,,1,0.15151515151515152,0.15151515151515152,33
明日方舟,op_mogp,,3,0.24242424242424243,0.1919191919191919,33
明日方舟,op_mogp,,5,0.48484848484848486,0.24646464646464644,33
火狐浏览器,op_mogp,,1,0.16666666666666666,0.16666666666666666,6
火狐浏览器,op_mogp,,3,0.5,0.3055555555555555,6
火狐浏览器,op_mogp,,5,0.8333333333333334,0.38055555555555554,6
燕云十六声,op_mogp,,1,0.15384615384615385,0.15384615384615385,13
燕云十六声,op_mogp,,3,0.3076923076923077,0.20512820512820512,13
燕云十六声,op_mogp,,5,0.6153846153846154,0.2743589743589744,13
爱奇艺,op_mogp,,1,0.125,0.125,24
爱奇艺,op_mogp,,3,0.4583333333333333,0.23611111111111108,24
爱奇艺,op_mogp,,5,0.6666666666666666,0.28194444444444444,24
百度网盘,op_mogp,,1,0.14285714285714285,0.14285714285714285,14
百度网盘,op_mogp,,3,0.35714285714285715,0.21428571428571427,14
百度网盘,op_mogp,,5,0.42857142857142855,0.2285714285714286,14
米哈游,op_mogp,,1,0.0,0.0,3
米哈游,op_mogp,,3,0.0,0.0,3
米哈游,op_mogp,,5,0.0,0.0,3
腾讯QQ,op_mogp,,1,0.0,0.0,6
腾讯QQ,op_mogp,,3,0.16666666666666666,0.05555555555555555,6
腾讯QQ,op_mogp,,5,0.3333333333333333,0.08888888888888889,6
腾讯视频,op_mogp,,1,0.07142857142857142,0.07142857142857142,14
腾讯视频,op_mogp,,3,0.21428571428571427,0.13095238095238096,14
腾讯视频,op_mogp,,5,0.35714285714285715,0.16666666666666666,14
虎牙直播,op_mogp,,1,0.0,0.0,3
虎牙直播,op_mogp,,3,0.3333333333333333,0.1111111111111111,3
虎牙直播,op_mogp,,5,0.3333333333333333,0.1111111111111111,3
ALL,op_mogp,,1,0.10264900662251655,0.10264900662251655,302
ALL,op_mogp,,3,0.2781456953642384,0.17052980132450332,302
ALL,op_mogp,,5,0.5099337748344371,0.2230132450331125,302
