app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_parametric,,1,0.125,0.125,8
优酷视频,op_parametric,,3,0.25,0.1875,8
优酷视频,op_parametric,,5,0.375,0.21875,8
像素蛋糕,op_parametric,,1,0.2857142857142857,0.2857142857142857,7
像素蛋糕,op_parametric,,3,0.2857142857142857,0.2857142857142857,7
像素蛋糕,op_parametric,,5,0.7142857142857143,0.3785714285714286,7
华为浏览器,op_parametric,,1,0.2,0.2,10
华为浏览器,op_parametric,,3,0.4,0.2666666666666667,10
华为浏览器,op_parametric,,5,0.7,0.3316666666666667,10
同花顺,op_parametric,,1,0.21621621621621623,0.21621621621621623,37
同花顺,op_parametric,,3,0.35135135135135137,0.2792792792792793,37
同花顺,op_parametric,,5,0.5405405405405406,0.3198198198198197,37
哔哩哔哩,op_parametric,,1,0.05,0.05,20
哔哩哔哩,op_parametric,,3,0.3,0.15,20
哔哩哔哩,op_parametric,,5,0.45,0.18,20
图库,op_parametric,,1,0.0,0.0,3
图库,op_parametric,,3,0.6666666666666666,0.27777777777777773,3
图库,op_parametric,,5,1.0,0.3611111111111111,3
大众点评,op_parametric,,1,0.0,0.0,9
大众点评,op_parametric,,3,0.1111111111111111,0.05555555555555555,9
大众点评,op_parametric,,5,0.3333333333333333,0.10555555555555556,9
央视影音,op_parametric,,1,0.0625,0.0625,16
央视影音,op_parametric,,3,0.375,0.19791666666666666,16
央视影音,op_parametric,,5,0.75,0.2822916666666667,16
央视新闻,op_parametric,,1,0.0,0.0,8
央视新闻,op_parametric,,3,0.125,0.041666666666666664,8
央视新闻,op_parametric,,5,0.75,0.17916666666666664,8
央视频,op_parametric,,1,0.0,0.0,21
央视频,op_parametric,,3,0.14285714285714285,0.06349206349206349,21
央视频,op_parametric,,5,0.38095238095238093,0.12063492063492062,21
夸克浏览器,op_parametric,,1,0.125,0.125,24
夸克浏览器,op_parametric,,3,0.3333333333333333,0.21527777777777776,24
夸克浏览器,op_parametric,,5,0.4166666666666667,0.23194444444444448,24
抖音,op_parametric,,1,0.0,0.0,10
抖音,op_parametric,,3,0.0,0.0,10
抖音,op_parametric,,5,0.3,0.065,10
斗鱼,op_parametric,,1,0.0,0.0,13
斗鱼,op_parametric,,3,0.3076923076923077,0.14102564102564102,13
斗鱼,op_parametric,,5,0.38461538461538464,0.16025641025641024,13
明日方舟,op_parametric,,1,0.12121212121212122,0.12121212121212122,33
明日方舟,op_parametric,,3,0.36363636363636365,0.22727272727272724,33
明日方舟,op_parametric,,5,0.5151515151515151,0.26212121212121214,33
火狐浏览器,op_parametric,,1,0.3333333333333333,0.3333333333333333,6
火狐浏览器,op_parametric,,3,0.5,0.4166666666666667,6
火狐浏览器,op_parametric,,5,0.6666666666666666,0.45,6
燕云十六声,op_parametric,,1,0.23076923076923078,0.23076923076923078,13
燕云十六声,op_parametric,,3,0.46153846153846156,0.33333333333333337,13
燕云十六声,op_parametric,,5,0.7692307692307693,0.3987179487179487,13
爱奇艺,op_parametric,,1,0.0,0.0,24
爱奇艺,op_parametric,,3,0.20833333333333334,0.07638888888888888,24
爱奇艺,op_parametric,,5,0.4583333333333333,0.1326388888888889,24
百度网盘,op_parametric,,1,0.0,0.0,14
百度网盘,op_parametric,,3,0.2857142857142857,0.10714285714285712,14
百度网盘,op_parametric,,5,0.42857142857142855,0.13928571428571426,14
米哈游,op_parametric,,1,0.0,0.0,3
米哈游,op_parametric,,3,0.6666666666666666,0.27777777777777773,3
米哈游,op_parametric,,5,0.6666666666666666,0.27777777777777773,3
腾讯QQ,op_parametric,,1,0.0,0.0,6
腾讯QQ,op_parametric,,3,0.16666666666666666,0.05555555555555555,6
腾讯QQ,op_parametric,,5,0.3333333333333333,0.08888888888888889,6
腾讯视频,op_parametric,,1,0.2857142857142857,0.2857142857142857,14
腾讯视频,op_parametric,,3,0.5714285714285714,0.42857142857142855,14
腾讯视频,op_parametric,,5,0.8571428571428571,0.4928571428571429,14
虎牙直播,op_parametric,,1,0.0,0.0,3
虎牙直播,op_parametric,,3,0.0,0.0,3
虎牙直播,op_parametric,,5,0.3333333333333333,0.06666666666666667,3
ALL,op_parametric,,1,0.10264900662251655,0.10264900662251655,302
ALL,op_parametric,,3,0.3079470198675497,0.1903973509933775,302
ALL,op_parametric,,5,0.5264900662251656,0.23874172185430467,302
