app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_quantile,,1,0.0,0.0,8
优酷视频,op_quantile,,3,0.375,0.16666666666666666,8
优酷视频,op_quantile,,5,0.625,0.22916666666666666,8
像素蛋糕,op_quantile,,1,0.14285714285714285,0.14285714285714285,7
像素蛋糕,op_quantile,,3,0.14285714285714285,0.14285714285714285,7
像素蛋糕,op_quantile,,5,0.14285714285714285,0.14285714285714285,7
华为浏览器,op_quantile,,1,0.1,0.1,10
华为浏览器,op_quantile,,3,0.5,0.2833333333333333,10
华为浏览器,op_quantile,,5,0.7,0.3283333333333333,10
同花顺,op_quantile,,1,0.10810810810810811,0.10810810810810811,37
同花顺,op_quantile,,3,0.43243243243243246,0.23873873873873871,37
同花顺,op_quantile,,5,0.5945945945945946,0.27522522522522525,37
哔哩哔哩,op_quantile,,1,0.1,0.1,20
哔哩哔哩,op_quantile,,3,0.25,0.16666666666666666,20
哔哩哔哩,op_quantile,,5,0.4,0.19916666666666666,20
图库,op_quantile,,1,0.0,0.0,3
图库,op_quantile,,3,1.0,0.3333333333333333,3
图库,op_quantile,,5,1.0,0.3333333333333333,3
大众点评,op_quantile,,1,0.1111111111111111,0.1111111111111111,9
大众点评,op_quantile,,3,0.3333333333333333,0.2037037037037037,9
大众点评,op_quantile,,5,0.5555555555555556,0.2537037037037037,9
央视影音,op_quantile,,1,0.125,0.125,16
央视影音,op_quantile,,3,0.4375,0.23958333333333334,16
央视影音,op_quantile,,5,0.625,0.2833333333333333,16
央视新闻,op_quantile,,1,0.375,0.375,8
央视新闻,op_quantile,,3,0.375,0.375,8
央视新闻,op_quantile,,5,0.5,0.40625,8
央视频,op_quantile,,1,0.14285714285714285,0.14285714285714285,21
央视频,op_quantile,,3,0.2857142857142857,0.19841269841269837,21
央视频,op_quantile,,5,0.42857142857142855,0.22936507936507936,21
夸克浏览器,op_quantile,,1,0.125,0.125,24
夸克浏览器,op_quantile,,3,0.2916666666666667,0.19444444444444442,24
夸克浏览器,op_quantile,,5,0.5416666666666666,0.25277777777777777,24
抖音,op_quantile,,1,0.1,0.1,10
抖音,op_quantile,,3,0.2,0.13333333333333333,10
抖音,op_quantile,,5,0.4,0.17333333333333334,10
斗鱼,op_quantile,,1,0.07692307692307693,0.07692307692307693,13
斗鱼,op_quantile,,3,0.23076923076923078,0.1282051282051282,13
斗鱼,op_quantile,,5,0.6153846153846154,0.21666666666666665,13
明日方舟,op_quantile,,1,0.15151515151515152,0.15151515151515152,33
明日方舟,op_quantile,,3,0.3939393939393939,0.2525252525252525,33
明日方舟,op_quantile,,5,0.5151515151515151,0.27979797979797977,33
火狐浏览器,op_quantile,,1,0.3333333333333333,0.3333333333333333,6
火狐浏览器,op_quantile,,3,0.3333333333333333,0.3333333333333333,6
火狐浏览器,op_quantile,,5,0.6666666666666666,0.4083333333333334,6
燕云十六声,op_quantile,,1,0.07692307692307693,0.07692307692307693,13
燕云十六声,op_quantile,,3,0.3076923076923077,0.17948717948717946,13
燕云十六声,op_quantile,,5,0.6153846153846154,0.24487179487179486,13
爱奇艺,op_quantile,,1,0.16666666666666666,0.16666666666666666,24
爱奇艺,op_quantile,,3,0.4166666666666667,0.2708333333333333,24
爱奇艺,op_quantile,,5,0.6666666666666666,0.33125,24
百度网盘,op_quantile,,1,0.14285714285714285,0.14285714285714285,14
百度网盘,op_quantile,,3,0.21428571428571427,0.17857142857142858,14
百度网盘,op_quantile,,5,0.5714285714285714,0.2571428571428572,14
米哈游,op_quantile,,1,0.3333333333333333,0.3333333333333333,3
米哈游,op_quantile,,3,0.3333333333333333,0.3333333333333333,3
米哈游,op_quantile,,5,0.6666666666666666,0.39999999999999997,3
腾讯QQ,op_quantile,,1,0.3333333333333333,0.3333333333333333,6
腾讯QQ,op_quantile,,3,0.3333333333333333,0.3333333333333333,6
腾讯QQ,op_quantile,,5,0.6666666666666666,0.39999999999999997,6
腾讯视频,op_quantile,,1,0.14285714285714285,0.14285714285714285,14
腾讯视频,op_quantile,,3,0.35714285714285715,0.2261904761904762,14
腾讯视频,op_quantile,,5,0.5714285714285714,0.2761904761904762,14
虎牙直播,op_quantile,,1,0.0,0.0,3
虎牙直播,op_quantile,,3,0.0,0.0,3
虎牙直播,op_quantile,,5,0.3333333333333333,0.08333333333333333,3
ALL,op_quantile,,1,0.1357615894039735,0.1357615894039735,302
ALL,op_quantile,,3,0.3443708609271523,0.22075055187637965,302
ALL,op_quantile,,5,0.5529801324503312,0.2679359823399558,302
