app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_scnn,,1,0.125,0.125,8
优酷视频,op_scnn,,3,0.25,0.1875,8
优酷视频,op_scnn,,5,0.5,0.24375,8
像素蛋糕,op_scnn,,1,0.14285714285714285,0.14285714285714285,7
像素蛋糕,op_scnn,,3,0.2857142857142857,0.19047619047619047,7
像素蛋糕,op_scnn,,5,0.5714285714285714,0.25476190476190474,7
华为浏览器,op_scnn,,1,0.2,0.2,10
华为浏览器,op_scnn,,3,0.4,0.2666666666666667,10
华为浏览器,op_scnn,,5,0.8,0.3616666666666667,10
同花顺,op_scnn,,1,0.13513513513513514,0.13513513513513514,37
同花顺,op_scnn,,3,0.40540540540540543,0.24324324324324326,37
同花顺,op_scnn,,5,0.5135135135135135,0.26756756756756755,37
哔哩哔哩,op_scnn,,1,0.05,0.05,20
哔哩哔哩,op_scnn,,3,0.3,0.14166666666666666,20
哔哩哔哩,op_scnn,,5,0.45,0.17916666666666667,20
图库,op_scnn,,1,0.0,0.0,3
图库,op_scnn,,3,1.0,0.5,3
图库,op_scnn,,5,1.0,0.5,3
大众点评,op_scnn,,1,0.2222222222222222,0.2222222222222222,9
大众点评,op_scnn,,3,0.4444444444444444,0.31481481481481477,9
大众点评,op_scnn,,5,0.5555555555555556,0.3425925925925926,9
央视影音,op_scnn,,1,0.125,0.125,16
央视影音,op_scnn,,3,0.6875,0.32291666666666663,16
央视影音,op_scnn,,5,0.875,0.36354166666666665,16
央视新闻,op_scnn,,1,0.125,0.125,8
央视新闻,op_scnn,,3,0.25,0.1875,8
央视新闻,op_scnn,,5,0.75,0.2875,8
央视频,op_scnn,,1,0.14285714285714285,0.14285714285714285,21
央视频,op_scnn,,3,0.23809523809523808,0.19047619047619047,21
央视频,op_scnn,,5,0.38095238095238093,0.22142857142857145,21
夸克浏览器,op_scnn,,1,0.20833333333333334,0.20833333333333334,24
夸克浏览器,op_scnn,,3,0.2916666666666667,0.23611111111111113,24
夸克浏览器,op_scnn,,5,0.4166666666666667,0.2652777777777778,24
抖音,op_scnn,,1,0.0,0.0,10
抖音,op_scnn,,3,0.1,0.03333333333333333,10
抖音,op_scnn,,5,0.4,0.10833333333333332,10
斗鱼,op_scnn,,1,0.0,0.0,13
斗鱼,op_scnn,,3,0.23076923076923078,0.08974358974358973,13
斗鱼,op_scnn,,5,0.46153846153846156,0.1474358974358974,13
明日方舟,op_scnn,,1,0.09090909090909091,0.09090909090909091,33
明日方舟,op_scnn,,3,0.30303030303030304,0.1717171717171717,33
明日方舟,op_scnn,,5,0.6363636363636364,0.24595959595959596,33
火狐浏览器,op_scnn,,1,0.3333333333333333,0.3333333333333333,6
火狐浏览器,op_scnn,,3,0.5,0.38888888888888884,6
火狐浏览器,op_scnn,,5,0.8333333333333334,0.46388888888888885,6
燕云十六声,op_scnn,,1,0.23076923076923078,0.23076923076923078,13
燕云十六声,op_scnn,,3,0.5384615384615384,0.37179487179487175,13
燕云十六声,op_scnn,,5,0.6153846153846154,0.391025641025641,13
爱奇艺,op_scnn,,1,0.0,0.0,24
爱奇艺,op_scnn,,3,0.16666666666666666,0.06944444444444443,24
爱奇艺,op_scnn,,5,0.4166666666666667,0.1277777777777778,24
百度网盘,op_scnn,,1,0.07142857142857142,0.07142857142857142,14
百度网盘,op_scnn,,3,0.07142857142857142,0.07142857142857142,14
百度网盘,op_scnn,,5,0.5,0.17500000000000002,14
米哈游,op_scnn,,1,0.0,0.0,3
米哈游,op_scnn,,3,0.3333333333333333,0.1111111111111111,3
米哈游,op_scnn,,5,0.6666666666666666,0.19444444444444442,3
腾讯QQ,op_scnn,,1,0.0,0.0,6
腾讯QQ,op_scnn,,3,0.16666666666666666,0.05555555555555555,6
腾讯QQ,op_scnn,,5,0.3333333333333333,0.09722222222222221,6
腾讯视频,op_scnn,,1,0.2857142857142857,0.2857142857142857,14
腾讯视频,op_scnn,,3,0.2857142857142857,0.2857142857142857,14
腾讯视频,op_scnn,,5,0.7857142857142857,0.3928571428571429,14
虎牙直播,op_scnn,,1,0.0,0.0,3
虎牙直播,op_scnn,,3,0.6666666666666666,0.27777777777777773,3
虎牙直播,op_scnn,,5,0.6666666666666666,0.27777777777777773,3
ALL,op_scnn,,1,0.11920529801324503,0.11920529801324503,302
ALL,op_scnn,,3,0.32450331125827814,0.20033112582781457,302
ALL,op_scnn,,5,0.5562913907284768,0.25347682119205295,302
