app,model,order,k,topk_accuracy,mrr,num_samples
优酷视频,op_markov,2,1,0.0,0.0,8
优酷视频,op_markov,2,3,0.25,0.125,8
优酷视频,op_markov,2,5,0.375,0.15,8
像素蛋糕,op_markov,2,1,0.0,0.0,7
像素蛋糕,op_markov,2,3,0.14285714285714285,0.047619047619047616,7
像素蛋糕,op_markov,2,5,0.2857142857142857,0.07619047619047618,7
华为浏览器,op_markov,2,1,0.2,0.2,10
华为浏览器,op_markov,2,3,0.2,0.2,10
华为浏览器,op_markov,2,5,0.3,0.22000000000000003,10
同花顺,op_markov,2,1,0.1891891891891892,0.1891891891891892,37
同花顺,op_markov,2,3,0.21621621621621623,0.20270270270270271,37
同花顺,op_markov,2,5,0.32432432432432434,0.22837837837837835,37
图库,op_markov,2,1,0.6666666666666666,0.6666666666666666,3
图库,op_markov,2,3,0.6666666666666666,0.6666666666666666,3
图库,op_markov,2,5,0.6666666666666666,0.6666666666666666,3
大众点评,op_markov,2,1,0.0,0.0,9
大众点评,op_markov,2,3,0.1111111111111111,0.037037037037037035,9
大众点评,op_markov,2,5,0.1111111111111111,0.037037037037037035,9
央视影音,op_markov,2,1,0.1875,0.1875,16
央视影音,op_markov,2,3,0.3125,0.25,16
央视影音,op_markov,2,5,0.375,0.265625,16
央视新闻,op_markov,2,1,0.375,0.375,8
央视新闻,op_markov,2,3,0.625,0.5,8
央视新闻,op_markov,2,5,0.625,0.5,8
央视频,op_markov,2,1,0.09523809523809523,0.09523809523809523,21
央视频,op_markov,2,3,0.2857142857142857,0.18253968253968256,21
央视频,op_markov,2,5,0.47619047619047616,0.2253968253968254,21
夸克浏览器,op_markov,2,1,0.041666666666666664,0.041666666666666664,24
夸克浏览器,op_markov,2,3,0.16666666666666666,0.09722222222222221,24
夸克浏览器,op_markov,2,5,0.4583333333333333,0.16180555555555556,24
抖音,op_markov,2,1,0.0,0.0,10
抖音,op_markov,2,3,0.1,0.03333333333333333,10
抖音,op_markov,2,5,0.4,0.10333333333333332,10
斗鱼,op_markov,2,1,0.15384615384615385,0.15384615384615385,13
斗鱼,op_markov,2,3,0.23076923076923078,0.19230769230769232,13
斗鱼,op_markov,2,5,0.3076923076923077,0.2076923076923077,13
明日方舟,op_markov,2,1,0.09090909090909091,0.09090909090909091,33
明日方舟,op_markov,2,3,0.24242424242424243,0.1414141414141414,33
明日方舟,op_markov,2,5,0.45454545454545453,0.18989898989898987,33
火狐浏览器,op_markov,2,1,0.0,0.0,6
火狐浏览器,op_markov,2,3,0.16666666666666666,0.08333333333333333,6
火狐浏览器,op_markov,2,5,0.6666666666666666,0.19999999999999998,6
燕云十六声,op_markov,2,1,0.07692307692307693,0.07692307692307693,13
燕云十六声,op_markov,2,3,0.15384615384615385,0.11538461538461539,13
燕云十六声,op_markov,2,5,0.5384615384615384,0.20384615384615387,13
爱奇艺,op_markov,2,1,0.041666666666666664,0.041666666666666664,24
爱奇艺,op_markov,2,3,0.16666666666666666,0.09722222222222221,24
爱奇艺,op_markov,2,5,0.2916666666666667,0.1284722222222222,24
百度网盘,op_markov,2,1,0.14285714285714285,0.14285714285714285,14
百度网盘,op_markov,2,3,0.2857142857142857,0.20238095238095238,14
百度网盘,op_markov,2,5,0.42857142857142855,0.230952380952381,14
米哈游,op_markov,2,1,0.0,0.0,3
米哈游,op_markov,2,3,0.0,0.0,3
米哈游,op_markov,2,5,0.0,0.0,3
腾讯QQ,op_markov,2,1,0.3333333333333333,0.3333333333333333,6
腾讯QQ,op_markov,2,3,0.3333333333333333,0.3333333333333333,6
腾讯QQ,op_markov,2,5,0.3333333333333333,0.3333333333333333,6
腾讯视频,op_markov,2,1,0.14285714285714285,0.14285714285714285,14
腾讯视频,op_markov,2,3,0.14285714285714285,0.14285714285714285,14
腾讯视频,op_markov,2,5,0.14285714285714285,0.14285714285714285,14
虎牙直播,op_markov,2,1,0.0,0.0,3
虎牙直播,op_markov,2,3,0.0,0.0,3
虎牙直播,op_markov,2,5,0.0,0.0,3
ALL,op_markov,2,1,0.11258278145695365,0.11258278145695365,302
ALL,op_markov,2,3,0.2185430463576159,0.15838852097130243,302
ALL,op_markov,2,5,0.3741721854304636,0.19332229580573954,302
